datetime;epoch;iteration;training loss;validation loss
2021-09-13 20:18:45;1;1;14.8927;32.4544
2021-09-13 20:19:35;1;1;11.4456;28.7897
2021-09-13 20:19:40;1;2;29.1604;15.3771
2021-09-13 20:19:44;1;3;16.5023;10.2929
2021-09-13 20:19:48;1;4;12.7147;7.9223
2021-09-13 20:19:52;1;5;8.4375;6.6732
2021-09-13 20:19:56;1;6;8.1167;5.7708
2021-09-13 20:20:01;1;7;6.5957;4.9674
2021-09-13 20:20:06;1;8;6.0975;4.8755
2021-09-13 20:20:11;1;9;6.368;4.6056
2021-09-13 20:20:17;1;10;5.5166;4.4002
2021-09-13 20:20:22;1;11;5.6036;4.4309
2021-09-13 20:20:25;1;12;1.3166;4.5352
2021-09-13 20:20:30;2;1;5.6816;4.5141
2021-09-13 20:20:35;2;2;5.2343;4.504
2021-09-13 20:20:40;2;3;5.8601;4.3905
2021-09-13 20:20:44;2;4;5.4639;4.3142
2021-09-13 20:20:49;2;5;5.0607;4.3392
2021-09-13 20:20:53;2;6;5.5893;4.2677
2021-09-13 20:20:58;2;7;5.5023;4.2054
2021-09-13 20:21:01;2;8;4.2417;4.2711
2021-09-13 20:21:07;2;9;5.3816;4.283
2021-09-13 20:21:13;2;10;5.0666;4.2581
2021-09-13 20:21:19;2;11;5.1006;4.2104
2021-09-13 20:21:22;2;12;0.9804;4.2233
2021-09-13 20:21:27;3;1;4.7343;4.2633
2021-09-13 20:21:32;3;2;5.0488;4.2621
2021-09-13 20:21:38;3;3;5.1989;4.2243
2021-09-13 20:21:43;3;4;4.5466;4.2018
2021-09-13 20:21:48;3;5;4.6501;4.2189
2021-09-13 20:21:53;3;6;5.6733;4.2052
2021-09-13 20:21:59;3;7;5.5521;4.1943
2021-09-13 20:22:05;3;8;5.1106;4.1672
2021-09-13 20:22:10;3;9;4.779;4.163
2021-09-13 20:22:16;3;10;5.2576;4.1479
2021-09-13 20:22:21;3;11;5.1859;4.1516
2021-09-13 20:22:24;3;12;1.0285;4.1652
2021-09-13 20:22:29;4;1;4.3147;4.1694
2021-09-13 20:22:35;4;2;5.2798;4.1606
2021-09-13 20:22:40;4;3;5.6246;4.1448
2021-09-13 20:22:44;4;4;5.184;4.1528
2021-09-13 20:22:50;4;5;4.6295;4.1856
2021-09-13 20:22:55;4;6;5.2793;4.1328
2021-09-13 20:23:00;4;7;4.8984;4.1916
2021-09-13 20:23:05;4;8;5.4593;4.2131
2021-09-13 20:23:10;4;9;4.7011;4.1945
2021-09-13 20:23:15;4;10;4.9296;4.1558
2021-09-13 20:23:20;4;11;4.8739;4.1683
2021-09-13 20:23:23;4;12;1.1859;4.2383
2021-09-13 20:23:28;5;1;5.4795;4.2294
2021-09-13 20:23:33;5;2;4.9227;4.1931
2021-09-13 20:23:38;5;3;4.6284;4.2102
2021-09-13 20:23:42;5;4;4.455;4.3422
2021-09-13 20:23:47;5;5;5.5996;4.3701
2021-09-13 20:23:53;5;6;4.7642;4.2847
2021-09-13 20:23:59;5;7;5.6069;4.148
2021-09-13 20:24:04;5;8;4.0439;4.1197
2021-09-13 20:24:10;5;9;5.3999;4.1629
2021-09-13 20:24:16;5;10;5.3402;4.2475
2021-09-13 20:24:22;5;11;4.3889;4.2476
2021-09-13 20:24:26;5;12;1.1149;4.2428
2021-09-13 20:24:31;6;1;5.1522;4.1846
2021-09-13 20:24:37;6;2;4.733;4.2028
2021-09-13 20:24:43;6;3;5.1692;4.2346
2021-09-13 20:24:48;6;4;4.71;4.2459
2021-09-13 20:24:54;6;5;5.1915;4.1996
2021-09-13 20:25:00;6;6;5.5209;4.1394
2021-09-13 20:25:05;6;7;5.5175;4.123
2021-09-13 20:25:10;6;8;5.216;4.1314
2021-09-13 20:25:16;6;9;5.1271;4.1103
2021-09-13 20:25:22;6;10;4.7645;4.0986
2021-09-13 20:25:28;6;11;4.3552;4.1272
2021-09-13 20:25:32;6;12;1.2926;4.1666
2021-09-13 20:25:37;7;1;4.1335;4.2342
2021-09-13 20:25:42;7;2;4.8084;4.2596
2021-09-13 20:25:48;7;3;5.7714;4.1837
2021-09-13 20:25:54;7;4;5.5828;4.1629
2021-09-13 20:26:00;7;5;5.5944;4.1928
2021-09-13 20:26:05;7;6;4.4389;4.1976
2021-09-13 20:26:11;7;7;5.3181;4.1628
2021-09-13 20:26:18;7;8;4.3775;4.1083
2021-09-13 20:26:24;7;9;4.7382;4.1234
2021-09-13 20:26:30;7;10;5.7045;4.1524
2021-09-13 20:26:36;7;11;4.5408;4.1971
2021-09-13 20:26:40;7;12;1.1424;4.2435
2021-09-13 20:26:46;8;1;4.9324;4.234
2021-09-13 20:26:52;8;2;5.0263;4.1911
2021-09-13 20:26:59;8;3;4.5937;4.1737
2021-09-13 20:27:06;8;4;4.848;4.15
2021-09-13 20:27:15;8;5;4.3009;4.1542
2021-09-13 20:27:23;8;6;4.9632;4.1349
2021-09-13 20:27:31;8;7;5.1273;4.1203
2021-09-13 20:27:38;8;8;5.3171;4.1139
2021-09-13 20:27:45;8;9;5.1929;4.1083
2021-09-13 20:27:53;8;10;4.6958;4.1049
2021-09-13 20:28:00;8;11;4.5433;4.1163
2021-09-13 20:28:09;8;12;1.1444;4.1391
2021-09-13 20:28:23;9;1;4.9997;4.1544
2021-09-13 20:28:30;9;2;4.9024;4.1477
2021-09-13 20:28:37;9;3;5.4468;4.1528
2021-09-13 20:28:44;9;4;5.1345;4.1472
2021-09-13 20:28:51;9;5;4.804;4.1416
2021-09-13 20:29:04;9;6;4.7783;4.1417
2021-09-13 20:29:19;9;7;4.9913;4.166
2021-09-13 20:29:27;9;8;4.8471;4.349
2021-09-13 20:29:35;9;9;4.6934;4.2977
2021-09-13 20:29:45;9;10;4.6774;4.1715
2021-09-13 20:29:54;9;11;5.0648;4.2341
2021-09-13 20:30:00;9;12;1.0894;4.3595
2021-09-13 20:30:10;10;1;5.1295;4.3061
2021-09-13 20:30:18;10;2;4.73;4.232
2021-09-13 20:30:26;10;3;5.3741;4.2249
2021-09-13 20:30:34;10;4;5.1686;4.2582
2021-09-13 20:30:40;10;5;4.2083;4.3328
2021-09-13 20:30:48;10;6;4.9879;4.3804
2021-09-13 20:30:55;10;7;6.1843;4.1967
2021-09-13 20:31:02;10;8;4.935;4.1142
2021-09-13 20:31:09;10;9;4.7125;4.1383
2021-09-13 20:31:17;10;10;4.8685;4.2784
2021-09-13 20:31:24;10;11;4.2826;4.3358
2021-09-13 20:31:35;10;12;1.4154;4.3875
